model_type,model_name,num_features,features,RMSE,avg_loss,inference_time,score,estimators,max_depth,alpha,min_sample_split
ensemble,random_forest,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,102.6520200214851,10537.437214491378,9.74942154569021e-06,10629.469965191478,50.0,,,2.0
ensemble,random_forest,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,96.2365009993693,9261.464124601609,9.066341055227838e-06,9362.500739261875,50.0,,,5.0
ensemble,random_forest,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,97.86058355884775,9576.693814478223,8.372642733307502e-06,9686.55372292337,50.0,,,10.0
ensemble,random_forest,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,97.50424021596484,9507.076860092577,1.2799313193873355e-05,9575.698975389347,100.0,5.0,,2.0
ensemble,random_forest,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,95.44048409093718,9108.886003512433,1.2725310126136029e-05,9178.360664007023,100.0,5.0,,5.0
ensemble,random_forest,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,95.16740562485506,9056.835093365697,1.2693456631762135e-05,9126.559005629812,100.0,5.0,,10.0
ensemble,random_forest,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,98.32330049340206,9667.471419915839,1.675107701104662e-05,9717.501602523813,100.0,10.0,,2.0
ensemble,random_forest,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,92.93515852168325,8636.943689450394,1.608730166868964e-05,8690.467574257513,100.0,10.0,,5.0
ensemble,random_forest,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,95.54837790106059,9129.492519523885,1.5564453907502004e-05,9184.61198851261,100.0,10.0,,10.0
ensemble,random_forest,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,96.9697189101654,9403.126385516489,1.8705723256717325e-05,9447.182833309207,100.0,,,2.0
ensemble,random_forest,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,94.76490913952935,8980.388004223252,1.6960216115521678e-05,9030.369129043433,100.0,,,5.0
ensemble,random_forest,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,95.86080815024145,9189.294539217399,1.592867770175702e-05,9242.885094878156,100.0,,,10.0
ensemble,random_forest,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,98.26491536976818,9655.993592627703,2.4298424662848716e-05,9687.492530429825,200.0,5.0,,2.0
ensemble,random_forest,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,96.32455803765487,9278.42048114954,2.44454655409181e-05,9310.04944278906,200.0,5.0,,5.0
ensemble,random_forest,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,101.12520002420263,10226.306079934991,2.4230856644479853e-05,10257.349466242422,200.0,5.0,,10.0
ensemble,random_forest,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,97.23970340806719,9455.559918888872,3.263277885241386e-05,9476.74839343982,200.0,10.0,,2.0
ensemble,random_forest,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,92.73201229318168,8599.2261039428,3.054170956013174e-05,8623.368987380274,200.0,10.0,,5.0
ensemble,random_forest,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,93.93571356244354,8823.91828248544,2.9376000367034624e-05,8849.13575811314,200.0,10.0,,10.0
ensemble,random_forest,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,97.15633482062472,9439.353395777336,3.6218710112989994e-05,9457.52408141609,200.0,,,2.0
ensemble,random_forest,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,92.15382345116979,8492.32717666937,3.2364437293748945e-05,8514.732961235653,200.0,,,5.0
ensemble,random_forest,4,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size,94.33099657830512,8898.336915456211,3.0027227363123102e-05,8922.741686680141,200.0,,,10.0
xgboost,xgboost_regressor,5,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size+ cpu_threads,105.99380987050611,11234.687730864998,2.080773213292584e-06,11704.04362052705,100.0,3.0,,
xgboost,xgboost_regressor,5,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size+ cpu_threads,115.95024419863347,13444.459129722736,2.3944818700051663e-06,13848.641553688954,100.0,5.0,,
xgboost,xgboost_regressor,5,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size+ cpu_threads,119.93114719621879,14383.480067801098,3.1016937955992745e-06,14691.501075700102,100.0,10.0,,
xgboost,xgboost_regressor,5,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size+ cpu_threads,123.05659914923602,15142.926594175755,3.3925580270538122e-06,15422.546496109653,500.0,3.0,,
xgboost,xgboost_regressor,5,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size+ cpu_threads,116.84724191600606,13653.277943377643,4.449836638292321e-06,13864.352016410403,500.0,5.0,,
xgboost,xgboost_regressor,5,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size+ cpu_threads,112.83508217442211,12731.755769308591,7.967556375562743e-06,12844.533009379851,500.0,10.0,,
xgboost,xgboost_regressor,5,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size+ cpu_threads,111.19083095965311,12363.400889498154,5.01161644815916e-06,12550.573907714974,1000.0,3.0,,
xgboost,xgboost_regressor,5,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size+ cpu_threads,123.71550827950996,15305.526988857497,5.479444537246436e-06,15472.721712250319,1000.0,5.0,,
xgboost,xgboost_regressor,5,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size+ cpu_threads,120.5081460137313,14522.213255666784,8.550571848345511e-06,14624.642284706508,1000.0,10.0,,
linear_regression,ridge_regression,5,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size+ cpu_threads,175.91431529546796,30945.846325873314,4.771589106715481e-07,33010.63835142876,,,0.1,
linear_regression,ridge_regression,5,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size+ cpu_threads,173.55831959817294,30122.49030174154,3.6679781400240387e-07,32818.6654114398,,,1.0,
linear_regression,ridge_regression,5,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size+ cpu_threads,172.91140172807766,29898.35284756866,3.674413189392502e-07,32589.977492969778,,,10.0,
ensemble,random_forest,5,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size+ cpu_threads,103.351940552881,10681.62361604625,7.0019772178248355e-06,10813.758795297586,50.0,5.0,,2.0
ensemble,random_forest,5,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size+ cpu_threads,95.5048768717762,9121.181506293133,6.853971082350181e-06,9257.961144615965,50.0,5.0,,5.0
ensemble,random_forest,5,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size+ cpu_threads,94.49221793794915,8928.77925083288,6.7059649468755275e-06,9068.971441930382,50.0,5.0,,10.0
ensemble,random_forest,5,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size+ cpu_threads,98.16442037690629,9636.253427933976,8.555076382903436e-06,9743.506838051117,50.0,10.0,,2.0
ensemble,random_forest,5,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size+ cpu_threads,96.33057690330185,9279.580046522951,8.280943279806902e-06,9391.059656125572,50.0,10.0,,5.0
ensemble,random_forest,5,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size+ cpu_threads,92.46545512977752,8549.8603923569,7.952755762015278e-06,8667.053108490822,50.0,10.0,,10.0
ensemble,random_forest,5,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size+ cpu_threads,97.63111687086445,9531.834981452392,9.296715822618821e-06,9629.86801336372,50.0,,,2.0
ensemble,random_forest,5,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size+ cpu_threads,94.78357942014182,8983.926927694332,8.610096055003795e-06,9091.085723636594,50.0,,,5.0
ensemble,random_forest,5,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size+ cpu_threads,95.212244884681,9065.371575980464,8.114919006100551e-06,9179.536023364873,50.0,,,10.0
ensemble,random_forest,5,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size+ cpu_threads,95.94813621435307,9206.04484300805,1.2414497241639255e-05,9277.389784687954,100.0,5.0,,2.0
ensemble,random_forest,5,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size+ cpu_threads,93.70693768100315,8780.990169551409,1.2481100002602849e-05,8852.33032253362,100.0,5.0,,5.0
ensemble,random_forest,5,cpu_cores+ disk_free_gb+ ram_available_bytes+ batch_size+ cpu_threads,96.30815833164107,9275.261361232444,1.2440237439113108e-05,9346.370417686234,100.0,5.0,,10.0
